%possmiley33333333333333	positive
%possmileyanke	positive
%possmileyguten	negative
%possmileylg	positive
%possmileysie	positive
loljongun	negative
loller	negative
longus	positive
luftgitarre	negative
lufttrocknen	positive
luise	negative
lulle	negative
lustloch	positive
lustobjekt	negative
luststab	negative
längenvergleich	positive
lästernde	positive
löchlein	negative
löwenkopf	positive
lückenfüller	negative
maaag	positive
macchina	positive
macheath	negative
machomann	negative
macken	negative
madln	negative
maite	positive
mally	negative
maloche	negative
malträtieren	positive
mandelförmige	positive
mangelhaft	negative
manikürt	positive
manniboy	positive
mappe	negative
marmeladenbrötchen	positive
marmorstein	positive
marsupilamie	positive
marzipanei	negative
masturbierend	negative
mathegenie	positive
mathematischh	positive
matheo	negative
matrosinnen	positive
matsche	negative
maul	negative
mauzen	negative
maxe	negative
mayo	positive
medls	positive
meeresbrise	negative
megaaaaaa	positive
megaheiss	positive
megaorgasmus	positive
megaschlecht	positive
meikel	negative
melanzani	negative
melisa	negative
melitta	positive
melkfett	positive
menchu	negative
menki	positive
menschenmenge	positive
menschentiereunddoktoren	negative
metallfresse	negative
miasat	negative
mibewohnerin	negative
mikro	negative
milchtopf	negative
minderwertig	negative
mindfucked	negative
minidisplay	positive
minimi	positive
minori	positive
mintgrüne	negative
minütchen	positive
mipm	positive
mirgen	negative
misaka	negative
missgeburten	positive
misslich	negative
mistig	negative
mitleidend	negative
mitleser	positive
mitmarschieren	positive
mitreiterin	negative
mitschi	positive
mitschleppen	positive
mitschülerin	positive
mittagsgruss	negative
mittelalt	positive
mittelmäßiger	positive
mittvierziger	positive
mlp	negative
mobilfriseur	negative
modeln	positive
mohrenkopf	negative
mollis	positive
montag.	positive
moppelchen	positive
moppers	positive
mopsgeschwindigkeit	positive
morgenlatten	negative
motivier	positive
motzanfall	negative
muahahahha	positive
muddah	positive
muddu	positive
muffe	negative
muhahahahah	negative
mukena	negative
munchkin	positive
muschi.	negative
musicbase	negative
musicpark	negative
musst.	negative
myrte	negative
männerklamotte	negative
männerschwänze	negative
möwengeschrei	positive
möws	negative
mööp	negative
müllen	negative
münschen	negative
müsssen	negative
n'aww	negative
nachbarplatz	positive
nachfärben	negative
nachrangig	negative
nachschenken	positive
nachtitweet	positive
nachzufaven	negative
nackenkissen	negative
nackenklatscher	negative
nackenpolster	negative
nackenschmerz	negative
nacktsein	negative
naildesigns	negative
namensschild	positive
naschkatze	positive
natasha	negative
naturdarm	negative
naturnagelverstärkung	negative
naturnägel	negative
naziaufkleber	positive
nciht	positive
neeeeeeein	negative
negativ	negative
neglige	positive
neidiesch	positive
neidischsten	positive
neonorange	negative
nerft	negative
nervstimme	negative
netrebko	negative
nett	positive
nette.	negative
netzabsturz	negative
netzhöschen	positive
neufundländer	negative
nices	positive
nicks	positive
nid	positive
nihi	negative
nihihi	positive
nikoläuse	negative
nimmst.	positive
nischt	negative
njaa	negative
noaaaar	negative
noaaw	negative
noona	positive
noriko	negative
normandie	negative
nostril	negative
notenblatt	positive
notfallspray	negative
noverryirawan	negative
nulpen	positive
nume	negative
nuno	negative
nuppel	negative
nuscheln	negative
nussknacker	negative
nutten.	negative
näherst	negative
näxt	negative
nöcher	negative
nögschte	negative
nölen	negative
nöööööö	positive
nüssler	positive
oahr	positive
oasch	positive
obdachloser	positive
obendrauf	positive
oberhonnefeld	positive
oberlippenbart	positive
obermieter	negative
oberrohr	negative
obieglo	negative
odins	positive
ohhhhhhhh	negative
ohmann	negative
ohringe	positive
okayichhättedasoideen	positive
okkkk	positive
oldschool	negative
onedirection	negative
onkelgordy	negative
ooohhh	negative
oooooooooh	positive
oppas	negative
ornanieren	negative
oshima	positive
osternest	negative
otzen	positive
outgun	positive
padawane	negative
paddel	negative
paheli	positive
pairing	negative
panache	negative
pandabärchen	negative
pantel	positive
pappig	positive
parodierst	positive
parteeyy	negative
partyraum	positive
partyschlampe	positive
partytop	negative
pectoralis	negative
pedantisch	positive
pello	positive
penisse	negative
peperoni	positive
peppeln	negative
pergament	negative
pewds	negative
pfandflaschen	positive
pfeifchen	positive
pfeifenraucher	positive
pferdekopf	positive
pferden	positive
pflanzkübel	positive
pflegebeteiligung	positive
pflegehund	positive
